FECHA,PRODUCTO_1,TIPO_CONTRATO_1,PRODUCTO_2,TIPO_CONTRATO_2,AJUSTE_POS1,AJUSTE_POS2,SPREAD,RELACION%
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,MAI Dolar MATba,MAI.ROS/DIC24,177.9,178.9,-1.0,-0.559
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,MAI Dolar MATba,MAI.ROS/ABR25,177.9,172.0,5.9,3.43
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,MAI Dolar MATba,MAI.ROS/JUL25,177.9,166.6,11.3,6.783
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,SOJ Disponible,SOJ.ROS/DIS24,177.9,310.5,-132.6,-42.705
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/SEP24,177.9,311.0,-133.1,-42.797
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/NOV24,177.9,310.0,-132.1,-42.613
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/ENE25,177.9,307.5,-129.6,-42.146
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/MAY25,177.9,285.0,-107.1,-37.579
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,SOJ Dolar MATba,SOJ.ROS/JUL25,177.9,289.0,-111.1,-38.443
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,TRI Disponible,TRI.ROS/DIS24,177.9,251.5,-73.6,-29.264
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,TRI Dolar MATba,TRI.ROS/SEP24,177.9,248.0,-70.1,-28.266
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,TRI Dolar MATba,TRI.ROS/DIC24,177.9,220.0,-42.1,-19.136
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,TRI Dolar MATba,TRI.ROS/ENE25,177.9,221.5,-43.6,-19.684
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,TRI Dolar MATba,TRI.ROS/MAR25,177.9,223.0,-45.1,-20.224
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,MAI Disponible,MAI.ROS/DIS24,178.9,174.0,4.9,2.816
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,MAI Dolar MATba,MAI.ROS/SEP24,178.9,177.9,1.0,0.562
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,MAI Dolar MATba,MAI.ROS/ABR25,178.9,172.0,6.9,4.012
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,MAI Dolar MATba,MAI.ROS/JUL25,178.9,166.6,12.3,7.383
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,SOJ Disponible,SOJ.ROS/DIS24,178.9,310.5,-131.6,-42.383
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,SOJ Dolar MATba,SOJ.ROS/SEP24,178.9,311.0,-132.1,-42.476
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,SOJ Dolar MATba,SOJ.ROS/NOV24,178.9,310.0,-131.1,-42.29
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,SOJ Dolar MATba,SOJ.ROS/ENE25,178.9,307.5,-128.6,-41.821
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,SOJ Dolar MATba,SOJ.ROS/MAY25,178.9,285.0,-106.1,-37.228
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,SOJ Dolar MATba,SOJ.ROS/JUL25,178.9,289.0,-110.1,-38.097
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,TRI Disponible,TRI.ROS/DIS24,178.9,251.5,-72.6,-28.867
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,TRI Dolar MATba,TRI.ROS/SEP24,178.9,248.0,-69.1,-27.863
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,TRI Dolar MATba,TRI.ROS/DIC24,178.9,220.0,-41.1,-18.682
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,TRI Dolar MATba,TRI.ROS/ENE25,178.9,221.5,-42.6,-19.233
2024-08-06,MAI Dolar MATba,MAI.ROS/DIC24,TRI Dolar MATba,TRI.ROS/MAR25,178.9,223.0,-44.1,-19.776
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,MAI Disponible,MAI.ROS/DIS24,172.0,174.0,-2.0,-1.149
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,MAI Dolar MATba,MAI.ROS/SEP24,172.0,177.9,-5.9,-3.316
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,MAI Dolar MATba,MAI.ROS/DIC24,172.0,178.9,-6.9,-3.857
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,MAI Dolar MATba,MAI.ROS/JUL25,172.0,166.6,5.4,3.241
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,SOJ Disponible,SOJ.ROS/DIS24,172.0,310.5,-138.5,-44.605
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,SOJ Dolar MATba,SOJ.ROS/SEP24,172.0,311.0,-139.0,-44.695
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,SOJ Dolar MATba,SOJ.ROS/NOV24,172.0,310.0,-138.0,-44.516
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,SOJ Dolar MATba,SOJ.ROS/ENE25,172.0,307.5,-135.5,-44.065
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,SOJ Dolar MATba,SOJ.ROS/MAY25,172.0,285.0,-113.0,-39.649
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,SOJ Dolar MATba,SOJ.ROS/JUL25,172.0,289.0,-117.0,-40.484
2024-08-06,MAI Dolar MATba,MAI.ROS/ABR25,TRI Disponible,TRI.ROS/DIS24,172.0,251.5,-79.5,-31.61
