PRODUCTO,TIPO CONTRATO,FECHA,AJUSTE / PRIMA REF.
MAI Dolar MATba,MAI.ROS/SEP24 164 C,2024-07-19,11.81993
MAI Dolar MATba,MAI.ROS/SEP24 168 C,2024-07-19,8.739412
MAI Dolar MATba,MAI.ROS/SEP24 172 C,2024-07-19,6.139089
MAI Dolar MATba,MAI.ROS/SEP24 180 C,2024-07-19,2.553155
MAI Dolar MATba,MAI.ROS/SEP24 184 C,2024-07-19,1.503212
MAI Dolar MATba,MAI.ROS/SEP24 188 C,2024-07-19,0.831471
MAI Dolar MATba,MAI.ROS/SEP24 192 C,2024-07-19,0.432043
MAI Dolar MATba,MAI.ROS/SEP24 196 C,2024-07-19,0.211028
MAI Dolar MATba,MAI.ROS/SEP24 200 C,2024-07-19,0.097007
MAI Dolar MATba,MAI.ROS/SEP24 204 C,2024-07-19,0.042034
MAI Dolar MATba,MAI.ROS/SEP24 208 C,2024-07-19,0.017201
MAI Dolar MATba,MAI.ROS/SEP24 212 C,2024-07-19,0.006661
MAI Dolar MATba,MAI.ROS/SEP24 224 C,2024-07-19,0.000284
MAI Dolar MATba,MAI.ROS/DIC24 172 C,2024-07-19,11.287719
MAI Dolar MATba,MAI.ROS/DIC24 176 C,2024-07-19,9.298282
MAI Dolar MATba,MAI.ROS/DIC24 180 C,2024-07-19,7.571077
MAI Dolar MATba,MAI.ROS/DIC24 184 C,2024-07-19,6.094157
MAI Dolar MATba,MAI.ROS/DIC24 188 C,2024-07-19,4.849873
MAI Dolar MATba,MAI.ROS/DIC24 192 C,2024-07-19,3.816743
MAI Dolar MATba,MAI.ROS/DIC24 196 C,2024-07-19,2.971031
MAI Dolar MATba,MAI.ROS/DIC24 200 C,2024-07-19,2.288205
MAI Dolar MATba,MAI.ROS/DIC24 204 C,2024-07-19,1.744172
MAI Dolar MATba,MAI.ROS/DIC24 208 C,2024-07-19,1.316229
MAI Dolar MATba,MAI.ROS/DIC24 212 C,2024-07-19,0.983714
MAI Dolar MATba,MAI.ROS/DIC24 216 C,2024-07-19,0.728369
MAI Dolar MATba,MAI.ROS/DIC24 220 C,2024-07-19,0.53448
MAI Dolar MATba,MAI.ROS/DIC24 240 C,2024-07-19,0.100596
