PRODUCTO,TIPO CONTRATO,FECHA,AJUSTE / PRIMA REF.
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-19,190.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-19,175.0
MAI MIN,MAI.MIN/SEP23,2023-07-19,193.5
MAI MIN,MAI.MIN/DIC23,2023-07-19,195.0
MAI MIN,MAI.MIN/ABR24,2023-07-19,190.0
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-19,53000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-19,364.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-19,357.3
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-19,362.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-19,359.9
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-19,333.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-19,336.8
SOJ MIN,SOJ.MIN/NOV23,2023-07-19,362.0
SOJ MIN,SOJ.MIN/MAY24,2023-07-19,333.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-19,98000.0
SOY Matba,SOY.CME/OCT23,2023-07-19,516.2
SOY Matba,SOY.CME/ABR24,2023-07-19,508.5
SOY Matba,SOY.CME/JUN24,2023-07-19,508.6
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-19,290.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-19,279.8
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-19,237.5
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-19,238.5
TRI Dolar MATba,TRI.ROS/MAR24,2023-07-19,240.0
TRI MIN,TRI.MIN/DIC23,2023-07-19,237.5
TRI MIN,TRI.MIN/ENE24,2023-07-19,238.5
CRN Matba,CRN.CME/AGO23,2023-07-20,212.1
CRN Matba,CRN.CME/NOV23,2023-07-20,215.0
CRN Matba,CRN.CME/ABR24,2023-07-20,222.2
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-20,189.0
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-20,192.4
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-20,193.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-20,188.5
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-20,175.0
MAI MIN,MAI.MIN/SEP23,2023-07-20,192.4
MAI MIN,MAI.MIN/DIC23,2023-07-20,193.5
MAI MIN,MAI.MIN/ABR24,2023-07-20,188.5
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-20,56000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-20,362.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-20,356.6
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-20,361.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-20,359.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-20,332.5
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-20,336.1
SOJ MIN,SOJ.MIN/NOV23,2023-07-20,361.0
SOJ MIN,SOJ.MIN/ENE24,2023-07-20,359.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-20,332.5
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-20,100500.0
SOY Matba,SOY.CME/OCT23,2023-07-20,515.0
SOY Matba,SOY.CME/ABR24,2023-07-20,508.2
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-20,290.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-20,279.5
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-20,235.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-20,236.0
TRI MIN,TRI.MIN/DIC23,2023-07-20,235.0
CRN Matba,CRN.CME/AGO23,2023-07-21,207.4
CRN Matba,CRN.CME/NOV23,2023-07-21,210.7
CRN Matba,CRN.CME/ABR24,2023-07-21,217.3
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-21,185.0
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-21,191.6
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-21,193.4
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-21,187.5
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-21,174.0
MAI MIN,MAI.MIN/SEP23,2023-07-21,191.6
MAI MIN,MAI.MIN/DIC23,2023-07-21,193.4
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-21,60000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-21,368.0
